Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,A,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,B,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,C,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,D,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,E,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,F,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,G,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,H,ZINC000751938095,ZINC000751938095,FRESH00014134848,ZINC000833624464,ZINC000833624464,REAL250003324764,REAL250002852032,REAL250002852032,FRESH00012962804,ZINC001434309614,ZINC001434309614,ZINC000850008207,ZINC001327823432,ZINC001327823432,ZINC001335091110,ZINC001119059028,ZINC001119059028,REAL300007318908,REAL250001652488,REAL250001652488,ZINC001364774273,FRESH00020236831,FRESH00020236831,ZINC000273900063
cmpd,I,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,J,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,K,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,L,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,M,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,N,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,O,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd,P,ZINC000751938095,FRESH00014134848,FRESH00014134848,ZINC000833624464,REAL250003324764,REAL250003324764,REAL250002852032,FRESH00012962804,FRESH00012962804,ZINC001434309614,ZINC000850008207,ZINC000850008207,ZINC001327823432,ZINC001335091110,ZINC001335091110,ZINC001119059028,REAL300007318908,REAL300007318908,REAL250001652488,ZINC001364774273,ZINC001364774273,FRESH00020236831,ZINC000273900063,ZINC000273900063
cmpd_abbrev,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd_abbrev,A,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,B,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,C,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,D,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,E,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,F,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,G,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,H,Z8095,Z8095,F4848,Z4464,Z4464,R4764,R2032,R2032,F2804,Z9614,Z9614,Z8207,Z3432,Z3432,Z1110,Z9028,Z9028,R8908,R2488,R2488,Z4273,F6831,F6831,Z0063
cmpd_abbrev,I,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,J,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,K,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,L,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,M,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,N,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,O,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
cmpd_abbrev,P,Z8095,F4848,F4848,Z4464,R4764,R4764,R2032,F2804,F2804,Z9614,Z8207,Z8207,Z3432,Z1110,Z1110,Z9028,R8908,R8908,R2488,Z4273,Z4273,F6831,Z0063,Z0063
SMILES,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
